,interferes_with_work,prev_mental_disorder,if_it_interferes,Sought_Treatment,are_you_willing_to_share_with_friends,family_history_of_mental_health,emphasis_on_physical_health,Number_of_employees_in_org,medical_leave_for_depression,well_handled,aware_of_importance,previous_help,comfortable_direct_sup_previous,mental_health_allowance,badly_handled,Depression
0,1.728395061728395,1.825242718446602,1.6818181818181819,1.7790697674418605,1.4444444417308162,1.6305418719211822,1.6666666666666667,1.4782608695652173,1.4615384615384615,1.3544303797468353,1.5384615384593223,1.3636363636363635,1.5126050420168067,1.4684014869888475,1.4683544303797469,2
1,1.89010989010989,1.825242718446602,1.854368932038835,1.7790697674418605,1.4444444417308162,1.6305418719211822,1.6666666666666667,1.4782608695652173,1.4615384615384615,1.3096774193548386,1.3908045977011494,1.452127659574468,1.3957446808510638,1.4684014869888475,1.1694915254237288,2
2,0.5,0.4594594594594595,0.6973684210526315,0.7207792207792207,1.5789473653742878,1.6305418719211822,1.4545454544880936,1.144927536231884,1.2727272727272727,1.231578947368421,1.607843137254902,1.4827586206896552,1.5126050420168067,1.4684014869888475,1.1694915254237288,0
3,0.5,0.4594594594594595,0.6973684210526315,0.7207792207792207,1.4772727272727273,0.7105263157894737,1.6666666666666667,1.144927536231884,1.6666666666666632,1.231578947368421,1.2371134020618557,1.3636363636363635,1.5126050420168067,1.3095238095238095,1.1694915254237288,0
4,1.728395061728395,1.825242718446602,1.6818181818181819,1.7790697674418605,1.1851851851851851,1.6305418719211822,1.2608695652173914,1.1857142857142857,1.2727272727272727,1.3544303797468353,1.3333333333333333,1.3636363636363635,1.3957446808510638,1.4684014869888475,1.4683544303797469,2
5,0.5,1.3437500000000013,1.3788968824940049,0.7207792207792207,1.4674303554456003,0.7105263157894737,1.3788968824940049,1.3703703703703705,1.2727272727272727,1.3096774193548386,1.2561130472021445,1.2561130472021445,1.3788968824940049,1.4684014869888475,1.4674303554456003,2
6,1.89010989010989,1.3437500000000013,1.8709677419354378,1.7790697674418605,1.1666666666666667,0.7105263157894737,1.0000000426392222,1.4782608695652173,1.625,1.3096774193548386,1.3908045977011494,1.452127659574468,1.3957446808510638,1.4684014869888475,1.1694915254237288,2
7,1.89010989010989,1.825242718446602,1.854368932038835,1.7790697674418605,1.5949367088607596,1.6631578947368422,1.4583333333251816,1.1857142857142857,1.625,1.7654320987654322,1.3333333333333333,1.155844155844156,1.0357142857149308,1.6190476185526315,1.1694915254237288,2
8,1.89010989010989,1.825242718446602,0.6973684210526315,0.7207792207792207,1.5789473653742878,1.6305418719211822,1.4583333333251816,1.4782608695652173,1.625,1.3096774193548386,1.5384615384593223,1.452127659574468,1.3957446808510638,1.0705882352941176,1.46,2
9,0.5,1.3437500000000013,0.6973684210526315,0.7207792207792207,1.148936170212766,0.7105263157894737,1.4545454544880936,1.4782608695652173,1.4615384615384615,1.3096774193548386,1.2371134020618557,1.452127659574468,1.5126050420168067,1.4684014869888475,1.4683544303797469,1
